x,y,y_pred
0.000000,1.000000000,1.000000000
0.100000,0.095016667,0.095016420
0.200000,-0.819733333,-0.819733809
0.300000,-1.743650000,-1.743650687
0.400000,-2.675733333,-2.675734216
0.500000,-3.614583333,-3.614584395
0.600000,-4.558400000,-4.558401223
0.700000,-5.504983333,-5.504984703
0.800000,-6.451733333,-6.451734832
0.900000,-7.395650000,-7.395651610
1.000000,-8.333333333,-8.333335039
1.100000,-9.260983333,-9.260985116
1.200000,-10.174400000,-10.174401842
1.300000,-11.068983333,-11.068985217
1.400000,-11.939733333,-11.939735240
1.500000,-12.781250000,-12.781251912
1.600000,-13.587733333,-13.587735231
1.700000,-14.352983333,-14.352985199
1.800000,-15.070400000,-15.070401814
1.900000,-15.732983333,-15.732985077
2.000000,-16.333333333,-16.333334988
2.100000,-16.863650000,-16.863651546
2.200000,-17.315733333,-17.315734752
2.300000,-17.680983333,-17.680984605
2.400000,-17.950400000,-17.950401106
2.500000,-18.114583333,-18.114584254
2.600000,-18.163733333,-18.163734050
2.700000,-18.087650000,-18.087650492
2.800000,-17.875733333,-17.875733583
2.900000,-17.516983333,-17.516983320
3.000000,-17.000000000,-16.999999705
